Park_Name,Park_Description,Park_Weather,Alert_Title,Alert_Category,Alert_Description,CODE
Olympic,"With its incredible range of precipitation and elevation, diversity is the hallmark of Olympic National Park. Encompassing nearly a million acres, the park protects a vast wilderness, thousands of years of human history, and several distinctly different ecosystems, including glacier-capped mountains, old-growth temperate rain forests, and over 70 miles of wild coastline. Come explore!","Summers tend to be fair and warm, with high temperatures between 65 and 75 degrees F. July, August and September are the driest months, with heavier precipitation during the rest of the year. While winters are mild at lower elevation, snowfall can be heavy in the mountains. It is common for different weather conditions to exist within the park at the same time.  At any time of year, visitors should come prepared for a variety of conditions.",Upper Queets Road Closed Due to Flooding (updated 1/9/20),Park Closure,Water over the roadway has closed the Upper Queets road. As of 1/9 the Upper Hoh Road has reopened to alterntaing single-lane traffic at the park boundary and Mora Road has reopened.,OLYM
Acadia,"Acadia National Park protects the natural beauty of the highest rocky headlands along the Atlantic coastline of the United States, an abundance of habitats, and a rich cultural heritage. At 3.5 million visits a year, it's one of the top 10 most-visited national parks in the United States. Visitors enjoy 27 miles of historic motor roads, 158 miles of hiking trails, and 45 miles of carriage roads.","Located on Mount Desert Island in Maine, Acadia experiences all four seasons. Summer temperatures range from 45-90F (7-30C). Fall temperatures range from 30-70F (-1-21C). Typically the first frost is in mid-October and first snowfall begins in November and can continue through April with an average accumulation of 73 inches (185 cm). Winter temperatures range from 14-35F (-10 - 2C). Spring temperatures range from 30-70F (-1-21C).",Be alert for trenches and washouts across gravel and carriage roads,Caution,"Recent heavy rains have caused washouts and trenches across gravel roads and carriage roads, which can be made more hazardous hidden under fresh snow. In some cases, orange cones and warning signs are obscured. Esp, Western Mountain Road, Seal Cove Road",ACAD
Great Smoky Mountains,"Ridge upon ridge of forest straddles the border between North Carolina and Tennessee in Great Smoky Mountains National Park. World renowned for its diversity of plant and animal life, the beauty of its ancient mountains, and the quality of its remnants of Southern Appalachian mountain culture, this is America's most visited national park.","Elevations in the park range from approximately 875 feet to 6,643 feet and the topography can drastically affect local weather. Temperatures can vary 10-20 degrees Fahrenheit from mountain base to top, and clear skies lower down do not guarantee equally pleasant weather at higher elevations. Visit http://www.nps.gov/grsm/planyourvisit/weather.htm for seasonal weather information and links to local forecasts.","Cades Cove Loop Road Closed Jan. 5-Feb. 29, 2020",Park Closure,"Cades Cove and Laurel Creek Road past the Great Smoky Mountains Institute at Tremont will be closed beginning 8:00 pm Sunday, January 5 through February 29, 2020 for repairs to the Bote Mountain Tunnel on Laurel Creek Road. The roads will reopen March 1.",GRSM
Isle Royale,"Explore a rugged, isolated island, far from the sights and sounds of civilization. Surrounded by Lake Superior, Isle Royale offers unparalleled solitude and adventures for backpackers, hikers, boaters, kayakers, canoeists and scuba divers. Here, amid stunning scenic beauty, you'll find opportunities for reflection and discovery, and make memories that last a lifetime.","Isle Royale National Park is a remote island wilderness in the middle of Lake Superior.  Weather influences traveling to and from the island, as well as your trip once you arrive.  For the most up-to-date weather information, call (906) 482-0984 or email isro_parkinfo@nps.gov prior to your trip.",Island Closed from November 1 through April 15 Annually,Park Closure,"From November 1 - April 15 annually, Isle Royale and its surrounding islands are closed to all visitors. Lake Superior waters are open to boaters. All islands reopen April 16. The Houghton Visitor Center remains open Monday - Friday all year.",ISRO
Redwood,"Most people know Redwood as home to the tallest trees on Earth. The parks also protect vast prairies, oak woodlands, wild river-ways, and nearly 40-miles of rugged coastline.  For thousands of years people have lived in this verdant landscape.  Together, the National Park Service and California State Parks are managing and restoring these lands for the inspiration, enjoyment, and education of all.","Visitors should be prepared for cooler and damp weather. Dress in layers and expect to get wet.
Year-round temperatures along California's redwood coast: mid-40s°F (7°C) to mid-60s°F (18°C). 

Summer can be foggy, with highs occasionally reaching low 70s°F (20°C). 
Winters are cooler with considerable rain. October through April averages 60-80 inches of rain over the region.",Do Not Rely On Digital Maps,Caution,"Be aware that many apps that provide digital maps do not not give accurate, site-specific information in this area. Visitors seeking places like the Tall Trees Grove Trailhead and Mill Creek Campground have been misdirected. Please utilize good judgement!",REDW
Shenandoah,"Just 75 miles from the bustle of Washington, D.C., Shenandoah National Park is your escape to recreation and re-creation. Cascading waterfalls, spectacular vistas, quiet wooded hollows—take a hike, meander along Skyline Drive, or picnic with the family. 200,000 acres of protected lands are haven to deer, songbirds, the night sky…and you. Plan a Shenandoah escape today!","Shenandoah experiences four distinct seasons. Best known for its fall foliage, the park is also spectacular in spring when the wildflowers and trees are in full bloom. Summer brings lush greens and relief from the hot valleys. The park's elevation encourages as much as a 10 degree temperature difference. In winter, this means that when surrounding lowlands are experiencing rain, the the park can be blanketed in snow and ice. It's always a good idea to be prepared for varying weather.",Hornets and Yellow Jackets Warning,Caution,"Be vigilant for clusters of yellow jackets near the ground; these areas could be disturbed yellow jacket nests. If you are allergic to bee/wasp stings, make sure you carry your Epi pen (epinephrine). You may also want to carry basic sting treatment.",SHEN
Wolf Trap National Park for the Performing Arts,"No matter what your age or taste in shows, you'll find something you like onstage at Wolf Trap National Park for the Performing Arts. From May through September, multiple amphitheaters in the park present performances such as musicals, dance, opera, jazz, and popular and country music.

A good time to explore the beauty  and history of the park without the crowds is October - April.","The weather at Wolf Trap National Park for the Performing Arts is typical for the mid-Atlantic area. There are four seasons. The majority of visitation is during the summers, which can be hot and humid during the day and cooler at night.",No Alerts At This Time,None,None,WOTR
Dry Tortugas,"Almost 70 miles (113 km) west of Key West lies the remote Dry Tortugas National Park. This 100-square mile park is mostly open water with seven small islands.  Accessible only by boat or seaplane, the park is known the world over as the home of magnificent Fort Jefferson, picturesque blue waters, superlative coral reefs and marine life, and the vast assortment of bird life that frequents the area.","The climate in the Dry Tortugas is subtropical, which basically means that it has warm and tropical weather in the range of 60°F to 90°F. The two main seasons are the winter stormy season from December through March which is windier and sees rougher seas, and the summertime tropical storm season from June through November where there is a higher chance of isolated storms. During the summers it is hot and humid. During the winter the temperature is milder and drier.",Garden Key Harbor Light,Caution,Vessel operators - the Garden Key Harbor Light is undergoing repairs and is extinguished. At this time it is unknown when the light will again be illuminated.,DRTO
Bryce Canyon,"Hoodoos (irregular columns of rock) exist on every continent, but here is the largest concentration found anywhere on Earth. Situated along a high plateau at the top of the Grand Staircase, the park's high elevations include numerous life communities, fantastic dark skies, and geological wonders that defy description.","Due of its high elevation climate, weather at Bryce Canyon through autumn, winter, and spring can be highly variable. From October to May temperatures fall below freezing nearly every night. The park typically experiences its coldest and snowiest periods from December through February. Spring storms in March and April can still produce heavy snowfall that may impact travel in the region. Summer highs are typically in the 70s-80s F and afternoon thunderstorms are common in July and August.",Winter Weather and the Scenic Drive,Information,"Following winter storms, the 18-mile southern scenic drive may close beyond the Bryce Amphitheater at Mile 3 to allow crews to clear the road. These closures typically last between one to three days, depending on the severity of the storm.",BRCA
Yellowstone,"On March 1, 1872, Yellowstone became the first national park for all to enjoy the unique hydrothermal wonders. Today, millions of people come here each year to camp, hike, and enjoy the majesty of the park.","Yellowstone's weather can vary quite a bit, even in a single day. In the summer, daytime highs can exceed 70°F (25°C), only to drop 20 or more degrees when a thunderstorm rolls through. It can snow during any month of the year, and winter lows frequently drop below 0°F (-18°C), especially at night. Bring a range of clothing options, including a warm jacket and rain gear, even in the summer.",Most park roads closed to automobiles for the season,Caution,"Most park roads closed to automobiles November 4 and will begin reopening April 17, 2020. The road from the North Entrance at Gardiner, Montana through the park to Cooke City, Montana is open year-round.",YELL
No Name Available,None Available,"Yellowstone's weather can vary quite a bit, even in a single day. In the summer, daytime highs can exceed 70°F (25°C), only to drop 20 or more degrees when a thunderstorm rolls through. It can snow during any month of the year, and winter lows frequently drop below 0°F (-18°C), especially at night. Bring a range of clothing options, including a warm jacket and rain gear, even in the summer.",No Alerts At This Time,None,None,SEQU
Mammoth Cave,"Mammoth Cave National Park preserves the cave system and a part of the Green River valley and hilly country of south central Kentucky. This is the world's longest known cave system, with more than 400 miles (643 km) explored. Early guide Stephen Bishop called the cave a ""grand, gloomy and peculiar place,"" but its vast chambers and complex labyrinths have earned its name - Mammoth.","Kentucky has a moderate climate with warm, yet moist conditions. Summers average in the high 80s; winters average in the low 40s. Southern Kentucky, where Mammoth Cave is located, receives the highest average precipitation for the state, about 50 inches per year, mostly in spring. Winter can bring mild to moderate snow and ice. Storms happen year-round, and can include tornadoes and flooding in low-lying areas, but severe weather is infrequent. The temperature deep in the cave is a constant 54°F (12°C).",Watch for river hazards – wear your life vest,Caution,"Within the park, river users on Nolin River and Green River will encounter downed trees. Life jackets must to be worn at all times. No floodplain camping on Nolin River or below Turnhole Bend (river mile 193) on Green River.",MACA
