Park,Code,Unit,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year,Decade
Olympic National Park,OLYM,F,40.7,44.9,50.3,56.9,63.5,68.1,73.8,74.1,68.5,56.9,46.4,42,57.2,2020
Olympic National Park,OLYM,C,4.8,7.2,10.2,13.8,17.5,20.1,23.2,23.4,20.3,13.8,8,5.6,14,2020
Acadia National Park,ACAD,F,31.4,35,41.6,53.3,65,74.2,79.1,78.4,70.5,58.7,48.1,37.2,56.1,2020
Acadia National Park,ACAD,C,-0.3,1.7,5.3,11.8,18.3,23.4,26.2,25.8,21.4,14.8,8.9,2.9,13.4,2020
Great Smoky Mountains National Park,GRSM,F,40.5,43.9,51.5,61.5,67.5,73.3,75.6,75.4,71.4,63.8,52.5,43.7,60.1,2020
Great Smoky Mountains National Park,GRSM,C,4.7,6.6,10.8,16.4,19.7,22.9,24.2,24.1,21.9,17.7,11.4,6.5,15.6,2020
Redwood National Park,REDW,F,53.4,55,56,56.9,60.7,63.4,65,65.1,65.2,62.6,56.6,52.7,59.4,2020
Redwood National Park,REDW,C,11.9,12.8,13.3,13.8,15.9,17.4,18.3,18.4,18.4,17,13.7,11.5,15.2,2020
Shenandoah National Park,SHEN,F,34.9,38.4,47.2,59,66.5,74.4,77.6,76.4,68.6,58.5,50.4,38,57.6,2020
Shenandoah National Park,SHEN,C,1.6,3.6,8.4,15,19.2,23.6,25.3,24.7,20.3,14.7,10.2,3.3,14.2,2020
Dry Tortugas National Park,DRTO,F,73.6,74.8,77.9,81.4,86,90,91.1,91.7,89.7,84.7,79.1,75.5,83,2020
Dry Tortugas National Park,DRTO,C,23.1,23.8,25.5,27.4,30,32.2,32.8,33.2,32.1,29.3,26.2,24.2,28.3,2020
Bryce Canyon National Park,BRCA,F,36.8,38.4,45.1,53.5,64,74.5,80.2,77.4,69.8,58.2,44.8,36.4,56.6,2020
Bryce Canyon National Park,BRCA,C,2.7,3.6,7.3,11.9,17.8,23.6,26.8,25.2,21,14.6,7.1,2.4,13.7,2020
