,Year,Total,Code,Park
0,2019,2882299.0,OLYM,Olympic National Park
1,2018,3104455.0,OLYM,Olympic National Park
2,2017,3401996.0,OLYM,Olympic National Park
3,2016,3390221.0,OLYM,Olympic National Park
4,2015,3263761.0,OLYM,Olympic National Park
5,2014,3243872.0,OLYM,Olympic National Park
6,2013,3085340.0,OLYM,Olympic National Park
7,2012,2824908.0,OLYM,Olympic National Park
8,2011,2966502.0,OLYM,Olympic National Park
9,2010,2844563.0,OLYM,Olympic National Park
10,2009,3276459.0,OLYM,Olympic National Park
11,2008,3081451.0,OLYM,Olympic National Park
12,2007,2988686.0,OLYM,Olympic National Park
13,2006,2749197.0,OLYM,Olympic National Park
14,2005,3142774.0,OLYM,Olympic National Park
15,2004,3073722.0,OLYM,Olympic National Park
16,2003,3225327.0,OLYM,Olympic National Park
17,2002,3691310.0,OLYM,Olympic National Park
18,2001,3416069.0,OLYM,Olympic National Park
19,2000,3327722.0,OLYM,Olympic National Park
20,1999,3364266.0,OLYM,Olympic National Park
21,1998,3577007.0,OLYM,Olympic National Park
22,1997,3846709.0,OLYM,Olympic National Park
23,1996,3348723.0,OLYM,Olympic National Park
24,1995,3658615.0,OLYM,Olympic National Park
25,1994,3381573.0,OLYM,Olympic National Park
26,1993,2679598.0,OLYM,Olympic National Park
27,1992,3030195.0,OLYM,Olympic National Park
28,1991,2759673.0,OLYM,Olympic National Park
29,1990,2794903.0,OLYM,Olympic National Park
30,1989,2737611.0,OLYM,Olympic National Park
31,1988,2959122.0,OLYM,Olympic National Park
32,1987,2822850.0,OLYM,Olympic National Park
33,1986,2940034.0,OLYM,Olympic National Park
34,1985,2532145.0,OLYM,Olympic National Park
35,1984,2759011.0,OLYM,Olympic National Park
36,1983,2410722.0,OLYM,Olympic National Park
37,1982,2478739.0,OLYM,Olympic National Park
38,1981,2306032.0,OLYM,Olympic National Park
39,1980,2032418.0,OLYM,Olympic National Park
40,1979,2078843.0,OLYM,Olympic National Park
41,2019,3424871.0,ACAD,Acadia National Park
42,2018,3537575.0,ACAD,Acadia National Park
43,2017,3509271.0,ACAD,Acadia National Park
44,2016,3303393.0,ACAD,Acadia National Park
45,2015,2811184.0,ACAD,Acadia National Park
46,2014,2563129.0,ACAD,Acadia National Park
47,2013,2254922.0,ACAD,Acadia National Park
48,2012,2431052.0,ACAD,Acadia National Park
49,2011,2374645.0,ACAD,Acadia National Park
50,2010,2504208.0,ACAD,Acadia National Park
51,2009,2227698.0,ACAD,Acadia National Park
52,2008,2075857.0,ACAD,Acadia National Park
53,2007,2202228.0,ACAD,Acadia National Park
54,2006,2083588.0,ACAD,Acadia National Park
55,2005,2051484.0,ACAD,Acadia National Park
56,2004,2207847.0,ACAD,Acadia National Park
57,2003,2431062.0,ACAD,Acadia National Park
58,2002,2558572.0,ACAD,Acadia National Park
59,2001,2516551.0,ACAD,Acadia National Park
60,2000,2469238.0,ACAD,Acadia National Park
61,1999,2602227.0,ACAD,Acadia National Park
62,1998,2594497.0,ACAD,Acadia National Park
63,1997,2760306.0,ACAD,Acadia National Park
64,1996,2704831.0,ACAD,Acadia National Park
65,1995,2845378.0,ACAD,Acadia National Park
66,1994,2710749.0,ACAD,Acadia National Park
67,1993,2656034.0,ACAD,Acadia National Park
68,1992,2382113.0,ACAD,Acadia National Park
69,1991,2475857.0,ACAD,Acadia National Park
70,1990,2339591.0,ACAD,Acadia National Park
71,1989,5440952.0,ACAD,Acadia National Park
72,1988,4502283.0,ACAD,Acadia National Park
73,1987,4288154.0,ACAD,Acadia National Park
74,1986,3929054.0,ACAD,Acadia National Park
75,1985,3745570.0,ACAD,Acadia National Park
76,1984,3734763.0,ACAD,Acadia National Park
77,1983,4124639.0,ACAD,Acadia National Park
78,1982,3572114.0,ACAD,Acadia National Park
79,1981,2997972.0,ACAD,Acadia National Park
80,1980,2779666.0,ACAD,Acadia National Park
81,1979,2787366.0,ACAD,Acadia National Park
82,2019,11827112.0,GRSM,Great Smoky Mountains National Park
83,2018,11421200.0,GRSM,Great Smoky Mountains National Park
84,2017,11338893.0,GRSM,Great Smoky Mountains National Park
85,2016,11312786.0,GRSM,Great Smoky Mountains National Park
86,2015,10712674.0,GRSM,Great Smoky Mountains National Park
87,2014,10099276.0,GRSM,Great Smoky Mountains National Park
88,2013,9354695.0,GRSM,Great Smoky Mountains National Park
89,2012,9685829.0,GRSM,Great Smoky Mountains National Park
90,2011,9008830.0,GRSM,Great Smoky Mountains National Park
91,2010,9463538.0,GRSM,Great Smoky Mountains National Park
92,2009,9491437.0,GRSM,Great Smoky Mountains National Park
93,2008,9044010.0,GRSM,Great Smoky Mountains National Park
94,2007,9372253.0,GRSM,Great Smoky Mountains National Park
95,2006,9289215.0,GRSM,Great Smoky Mountains National Park
96,2005,9192477.0,GRSM,Great Smoky Mountains National Park
97,2004,9167046.0,GRSM,Great Smoky Mountains National Park
98,2003,9366845.0,GRSM,Great Smoky Mountains National Park
99,2002,9316420.0,GRSM,Great Smoky Mountains National Park
100,2001,9197697.0,GRSM,Great Smoky Mountains National Park
101,2000,10175812.0,GRSM,Great Smoky Mountains National Park
102,1999,10283598.0,GRSM,Great Smoky Mountains National Park
103,1998,9989395.0,GRSM,Great Smoky Mountains National Park
104,1997,9965075.0,GRSM,Great Smoky Mountains National Park
105,1996,9265667.0,GRSM,Great Smoky Mountains National Park
106,1995,9080420.0,GRSM,Great Smoky Mountains National Park
107,1994,8628174.0,GRSM,Great Smoky Mountains National Park
108,1993,9283848.0,GRSM,Great Smoky Mountains National Park
109,1992,8931690.0,GRSM,Great Smoky Mountains National Park
110,1991,8654459.0,GRSM,Great Smoky Mountains National Park
111,1990,8151769.0,GRSM,Great Smoky Mountains National Park
112,1989,8333553.0,GRSM,Great Smoky Mountains National Park
113,1988,8770781.0,GRSM,Great Smoky Mountains National Park
114,1987,10209841.0,GRSM,Great Smoky Mountains National Park
115,1986,9836306.0,GRSM,Great Smoky Mountains National Park
116,1985,9319290.0,GRSM,Great Smoky Mountains National Park
117,1984,8508390.0,GRSM,Great Smoky Mountains National Park
118,1983,8435475.0,GRSM,Great Smoky Mountains National Park
119,1982,8177869.0,GRSM,Great Smoky Mountains National Park
120,1981,8312884.0,GRSM,Great Smoky Mountains National Park
121,1980,8440953.0,GRSM,Great Smoky Mountains National Park
